#name	lat	lon	country	population
Albany	42.65258	-73.75623	US	101228
Alberton	-26.26786	28.12225	ZA	121536
Albuquerque	35.08449	-106.65114	US	564559
Alcalá de Henares	40.48205	-3.35996	ES	193751
Alchevsk	48.46906	38.79744	UA	106062
Alcobendas	40.54746	-3.64197	ES	116037
Alcorcón	40.34582	-3.82487	ES	172384
Aleppo	36.20124	37.16117	SY	2098210
Alexandra	-26.10528	28.09884	ZA	179624
Alexandria	31.20176	29.91582	EG	5263542
Alexandria	38.80484	-77.04692	US	159467
Aley	33.80528	35.6	LB	130000
Algeciras	36.13326	-5.45051	ES	121414
Algiers	36.73225	3.08746	DZ	2364230
Alhambra	33.49838	-112.13432	US	127764
Aliayabiagba	6.45	3.33333	NG	228000
Alicante	38.34517	-0.48149	ES	348901
Alimosho	6.60656	3.30235	NG	308290
Allentown	40.60843	-75.49018	US	120207
Almaty	43.25249	76.9115	KZ	1977011
Almendares	23.11012	-82.42322	CU	240000
Almere Stad	52.37025	5.21413	NL	176432
Almería	36.83814	-2.45974	ES	196851
Almirante Tamandaré	-25.32472	-49.31	BR	119825
Alor Setar	6.12104	100.36014	MY	417800
Altamira	-3.20333	-52.20639	BR	126279
Alto Barinas	8.5931	-70.2261	VE	284289
Alto Hospicio	-20.26871	-70.1049	CL	142086
Altona	53.55	9.93333	DE	250192
Alvorada	-30.00018	-51.07632	BR	187315
Alwar	27.56246	76.625	IN	322568
Alīgarh	27.88145	78.07464	IN	753207
Al’met’yevsk	54.90395	52.31793	RU	140437
Amadora	38.75382	-9.23083	PT	178858
Amagasaki	34.71667	135.41667	JP	459593
Amaigbo	5.78917	7.83829	NG	127300
Amanfrom	5.53532	-0.39827	GH	119467
Amarapura	21.90709	96.04894	MM	237618
Amaravati	16.514	80.516	IN	103000
Amarillo	35.222	-101.8313	US	198645
Amasya	40.65333	35.83306	TR	114921
Ambala Sadar	30.33544	76.86265	IN	104974
Ambarnath	19.2	73.16667	IN	253475
Ambato	-1.24908	-78.61675	EC	387309
Ambattur	13.09818	80.16152	IN	466205
Ambikāpur	23.11892	83.19537	IN	121071
Ambon	-3.69583	128.18333	ID	347288
Ambur	12.79163	78.71644	IN	114608
Ambāla	30.36099	76.79782	IN	195153
Americana	-22.73917	-47.33139	BR	246655
Amersfoort	52.155	5.3875	NL	139914
Amherst	42.97839	-78.79976	US	122366
Amiens	49.9	2.3	FR	143086
Amman	31.95522	35.94503	JO	1275857
Ampang	3.15	101.76667	MY	126285
Amravati	20.93333	77.75	IN	647057
Amreli	21.59983	71.21169	IN	117967
Amritsar	31.62234	74.87534	IN	1159227
Amroha	28.90314	78.46984	IN	176253
Amsterdam	52.37403	4.88969	NL	741636
An Nhơn	13.88579	109.10823	VN	308396
An Nuhūd	12.7	28.43333	SD	108008
An Nu‘mānīyah	32.55621	45.41293	IQ	110000
Anaco	9.42958	-64.46428	VE	139397
Anaheim	33.83529	-117.9145	US	350742
Anand	22.55251	72.9552	IN	209410
Ananindeua	-1.36556	-48.37222	BR	433956
Anantapur	14.67784	77.60813	IN	267161
Anantnag	33.73068	75.15418	IN	150592
Anbu	23.44895	116.68092	CN	162964
Anchorage	61.21806	-149.90028	US	289600
Anda	46.44867	125.30161	CN	181271
Anderlecht	50.83619	4.31454	BE	160553
Andijon	40.78338	72.35067	UZ	747800
Andong	36.56636	128.72275	KR	153348
Andīmeshk	32.4615	48.35368	IR	135116
Andīsheh	35.74708	51.27739	IR	116062
Ang Mo Kio New Town	1.38028	103.83972	SG	159340
Angarsk	52.55968	103.91413	RU	243158
Angeles City	15.15	120.58333	PH	483452
Angers	47.47156	-0.55202	FR	168279
Angoche	-16.2325	39.90861	MZ	104540
Angono	14.5266	121.1536	PH	134975
Angra dos Reis	-23.00667	-44.31806	BR	179120
Angren	41.01667	70.14361	UZ	191300
Anjō	34.95828	137.08054	JP	188693
Ankang	32.68	109.01722	CN	870126
Ankara	39.91987	32.85427	TR	3517182
Anliu	23.69824	115.67953	CN	115560
Ann	19.79537	94.04791	MM	119714
Ann Arbor	42.27756	-83.74088	US	117070
Annaba	36.9	7.76667	DZ	342703
Anning	24.92271	102.48496	CN	106795
Anqing	30.51365	117.04723	CN	804493
Anqiu	36.43417	119.1925	CN	364208
Ansan-si	37.32361	126.82194	KR	623256
Anshan	41.12361	122.99	CN	1450000
Anshun	26.25	105.93333	CN	765313
Antakya	36.20655	36.15722	TR	399045
Antalya	36.90812	30.69556	TR	1335002
Antananarivo	-18.91368	47.53613	MG	1349501
Antioch	38.00492	-121.80579	US	110542
Antipolo	14.62578	121.12251	PH	913712
Antofagasta	-23.65094	-70.39752	CL	401096
Antsirabe	-19.86586	47.03333	MG	260907
Antsiranana	-12.31732	49.29188	MG	136959
Antwerp	51.22047	4.40026	BE	529247
Anyama	5.49462	-4.05183	CI	133905
Anyang	36.096	114.38278	CN	1146839
Anyang-si	37.3925	126.92694	KR	595644
Anápolis	-16.32667	-48.95278	BR	319587
Aomori	40.81667	140.73333	JP	298394
Apalit	14.95333	120.77	PH	121057
Aparecida de Goiânia	-16.82333	-49.24389	BR	510770
Apatzingán	19.08864	-102.35704	MX	102362
Apeldoorn	52.21	5.96944	NL	136670
Apopa	13.80722	-89.17917	SV	112158
Apucarana	-23.55083	-51.46083	BR	130134
Aqsu	41.18418	80.27921	CN	535657
Ar Ramthā	32.55873	36.00816	JO	155693
Ar Raqqah	35.95283	39.00788	SY	531952
Ar Rayyān	25.29194	51.42444	QA	272465
Ar Rifā‘	26.13	50.555	BH	115495
Arabkir	40.20624	44.50365	AM	119300
Aracaju	-10.91111	-37.07167	BR	664908
Arad	46.18333	21.31667	RO	169065
Araguari	-18.64722	-48.18722	BR	117808
Araguaína	-7.19111	-48.20722	BR	105019
Arakawa	35.73825	139.78047	JP	216900
Arapiraca	-9.7525	-36.66111	BR	243661
Arapongas	-23.41944	-51.42444	BR	119138
Arar	30.97531	41.03808	SA	148540
Araraquara	-21.79444	-48.17556	BR	168468
Araras	-22.35694	-47.38417	BR	135331
Araruama	-22.87278	-42.34306	BR	137773
Araucária	-25.59306	-49.41028	BR	151666
Araure	9.58144	-69.23851	VE	181820
Araxá	-19.59333	-46.94056	BR	111691
Araçatuba	-21.20889	-50.43278	BR	170024
Arba Minch	6.03333	37.55	ET	201000
Arcahaie	18.77019	-72.51226	HT	130306
Archway	51.56733	-0.13415	GB	215667
Ardabīl	38.2498	48.2933	IR	410753
Arequipa	-16.39899	-71.53747	PE	1195700
Arezzo	43.46276	11.88068	IT	100734
Arganzuela	40.40021	-3.69618	ES	148797
Argenteuil	48.94788	2.24744	FR	101475
Arica	-18.47552	-70.30058	CL	241653
Arif Wala	26.32478	66.29587	PK	157063
Arifwala	30.29058	73.06574	PK	854462
Arjawinangun	-6.64528	108.41028	ID	105845
Arkhangel’sk	64.5461	40.55183	RU	349742
Arlington	32.73569	-97.10807	US	388125
Arlington	38.88101	-77.10428	US	207627
Arlit	18.73694	7.38528	NE	106448
Armavir	44.99849	41.11472	RU	199548
Armenia	4.53656	-75.67263	CO	304314
Arnavutköy	41.18355	28.7402	TR	198165
Arnhem	51.98	5.91111	NL	162424
Arrah	25.55629	84.66335	IN	261430
Arroyo Naranjo	23.03811	-82.37703	CU	210053
Arsuz	36.41305	35.89033	TR	109550
Artur Alvim	-23.54015	-46.48581	BR	104864
Artux	39.70842	76.17971	CN	285000
Artëm	43.35757	132.19137	RU	102300
Arusha	-3.36667	36.68333	TZ	617631
Arvada	39.80276	-105.08748	US	115368
Aryanah	36.86012	10.19337	TN	114486
Arzamas	55.39563	43.8381	RU	109479
Arāk	34.09493	49.69809	IR	503647
Arīsh	31.13159	33.79844	EG	199243
As Salţ	32.03917	35.72722	JO	107874
As Samawah	31.33198	45.2944	IQ	152890
As Sinbillāwayn	30.88251	31.46275	EG	124020
As Suwayq	23.84944	57.43861	OM	107143
As Sālimīyah	29.33389	48.07611	KW	147649
Asahikawa	43.77063	142.36489	JP	333530
Asaka	35.80472	139.60194	JP	141083
Ash Sharqāt	35.51722	43.22806	IQ	160000
Ash Shaţrah	31.40906	46.1727	IQ	182175
Ashaiman	5.69951	-0.03484	GH	190972
Ashdod	31.79213	34.64966	IL	226838
Ashgabat	37.95	58.38333	TM	1030063
Ashikaga	36.33333	139.45	JP	144746
Ashkelon	31.66926	34.57149	IL	144073
Ashmūn	30.29735	30.97641	EG	124483
Ashoknagar Kalyangarh	22.86416	88.63701	IN	111475
Ashuganj City	24.04016	91.0117	BD	210356
Asmara	15.33805	38.93184	ER	563930
Assis	-22.66167	-50.41222	BR	105087
Assiut	27.18096	31.18368	EG	528669
Astana	51.1801	71.44598	KZ	1544142
Astanajapura	-6.8017	108.6311	ID	148047
Astoria	40.77205	-73.93014	US	150165
Astrakhan	46.34968	48.04076	RU	533925
Asunción	-25.28646	-57.647	PY	1482200
Aswān	24.09082	32.89942	EG	379774
Atani	6.01277	6.74768	NG	230000
Ataşehir	40.9833	29.1167	TR	361615
Atbara	17.70217	33.98638	SD	112021
Athens	37.98376	23.72784	GR	664046
Athens	33.96095	-83.37794	US	127315
Athlone	-33.96722	18.50214	ZA	237414
Atibaia	-23.11694	-46.55028	BR	144088
Atlanta	33.749	-84.38798	US	510823
Atsiaman	5.69775	-0.32824	GH	202932
Atsugi	35.44272	139.36931	JP	223960
Attock City	33.76671	72.35977	PK	141945
Atyrau	47.1048	51.88427	KZ	290700
Auckland	-36.84853	174.76349	NZ	1547200
Augsburg	48.37154	10.89851	DE	301105
Aurangabad	19.87757	75.34226	IN	1175116
Aurangābād	24.75204	84.3742	IN	102244
Aurora	41.76058	-88.32007	US	200661
Aurora	39.72943	-104.83192	US	359407
Austin	30.26715	-97.74306	US	974447
Avadi	13.1147	80.10981	IN	345996
Avellaneda	-34.66018	-58.36744	AR	367554
Avtozavodskyi	49.09753	33.43206	UA	157382
Awasa	7.06205	38.47635	ET	422200
Awka	6.21269	7.07199	NG	167738
Ayacucho	-13.1638	-74.22345	PE	140033
Aydın	37.84501	27.83963	TR	163022
Az Zubayr	30.39213	47.70175	IQ	122676
Az Zulfī	26.29945	44.81542	SA	125000
Az Zāwīyah	32.7571	12.72764	LY	200000
Azamgarh	26.06832	83.18358	IN	116644
Azare	11.67478	10.19069	NG	105687
Azcapotzalco	19.48698	-99.18594	MX	414711
Açailândia	-4.94667	-47.50472	BR	106550
Aïn Beïda	35.79639	7.39278	DZ	116064
Ağrı	39.71467	43.04015	TR	124483
Ba Dinh	21.03652	105.82684	VN	221893
Ba Vì	21.08333	105.38333	VN	282600
Ba Đồn	17.75353	106.42355	VN	106413
Bab Ezzouar	36.72615	3.18291	DZ	275630
Bacabal	-4.23246	-44.78164	BR	103711
Bachuan	29.84863	106.05046	CN	208520
Bacolod City	10.66667	122.95	PH	454898
Bacoor	14.45896	120.93851	PH	356974
Bacău	46.56718	26.91384	RO	136087
Badajoz	38.87789	-6.97061	ES	150530
Badalona	41.45004	2.24741	ES	217741
Bade	24.92981	121.28372	TW	209148
Badin	24.656	68.837	PK	117455
Badlapur	19.15516	73.26553	IN	174226
Bafoussam	5.47775	10.41759	CM	373268
Bagaha	27.09918	84.09003	IN	112634
Bagalkot	16.18673	75.69614	IN	111933
Bagerhat	22.65657	89.79123	BD	266388
Baghdad	33.34058	44.40088	IQ	7216000
Baghlān	36.13068	68.70829	AF	108449
Bago	17.33521	96.48135	MM	244376
Bago City	10.53333	122.83333	PH	192993
Bagong Silang	14.7783	121.04487	PH	261729
Bagong Silangan	14.706	121.108	PH	106886
Baguio	16.41639	120.59306	PH	272714
Bahadurgarh	28.69287	76.93555	IN	170767
Baharampur	24.10473	88.25155	IN	180547
Bahawalnagar	29.99835	73.25272	PK	241873
Bahawalnagar	30.55083	73.39083	PK	241873
Bahawalpur	29.39779	71.6752	PK	903795
Bahir Dar	11.59364	37.39077	ET	350000
Bahraigh	27.57429	81.59474	IN	182218
Bahçelievler	41.00231	28.8598	TR	576799
Bahía Blanca	-38.7176	-62.26545	AR	299101
Bahārestān	32.48814	51.77312	IR	106433
Baia Mare	47.65729	23.56808	RO	108759
Baicheng	45.61751	122.83302	CN	316970
Baidoa	3.11383	43.6498	SO	129839
Baidyabāti	22.78498	88.32586	IN	115504
Bairro da Penha	-23.3684	-46.31102	BR	117691
Baise	23.89013	106.62684	CN	686078
Baisha	29.06226	106.1189	CN	115761
Baishan	41.93853	126.41965	CN	183880
Baiyin	36.54696	104.17023	CN	294400
Bakersfield	35.37329	-119.01871	US	373640
Baku	40.37767	49.89201	AZ	2351300
Bakwa	4.1263	27.39527	CD	100575
Balakovo	52.02639	47.79671	RU	199572
Balashikha	55.79479	37.94794	RU	150103
Balasore	21.49266	86.93348	IN	144373
Balbala	11.56194	43.10666	DJ	554350
Balcón de la Lisa	23.05346	-82.4476	CU	147415
Balikpapan	-1.26753	116.82887	ID	695287
Baliuag	14.95472	120.89694	PH	135679
Balkh	36.75635	66.8972	AF	114883
Ballarat	-37.56622	143.84957	AU	111973
Ballari	15.14205	76.92398	IN	410445
Balneário Camboriú	-26.99056	-48.63472	BR	139155
Balombo	-12.35426	14.77232	AO	108965
Balsas	-7.5325	-46.03556	BR	101767
Baltimore	39.29038	-76.61219	US	585708
Balvanera	-34.61032	-58.39766	AR	152198
Balıkesir	39.64917	27.88611	TR	238151
Bama	11.52134	13.68952	NG	118121
Bamako	12.60915	-7.97522	ML	4227569
Bamenda	5.9597	10.14597	CM	420445
Ban I Chang	13.71061	99.89617	TH	119858
Ban Khlong Prawet	13.71904	100.68146	TH	160671
Ban Samae Dam	13.58956	100.38734	TH	125133
Banan	29.37861	106.54	CN	508703
Banda Aceh	5.54167	95.33333	ID	267962
Bandar Abbas	27.1865	56.2808	IR	352173
Bandar Bukit Raja	3.08737	101.43339	MY	146534
Bandar Lampung	-5.42917	105.26111	ID	1166066
Bandar Mahkota Cheras	3.0542	101.79844	MY	100000
Bandar Seri Alam	1.50434	103.87525	MY	220000
Bandar Sunway	3.0693	101.6074	MY	200000
Bandar Tasik Puteri	3.28531	101.4741	MY	150000
Bandar Utama	3.14818	101.61407	MY	200000
Bandar-e Anzalī	37.47318	49.45785	IR	118564
Bandar-e Māhshahr	30.55655	49.18852	IR	162797
Bandundu Province	-3.31687	17.38063	CD	202904
Bandung	-6.92222	107.60694	ID	2528163
Bandırma	40.35222	27.97667	TR	107631
Banfora	10.64064	-4.75285	BF	117452
Bang Bon	13.66185	100.39567	TH	105161
Bang Kapi	13.7653	100.647	TH	147800
Bang Khae	13.69301	100.40755	TH	193002
Bang Khun Thian	13.66302	100.43416	TH	165491
Bang Sue	13.81086	100.53064	TH	125440
Bangaon	23.04553	88.83084	IN	111693
Bangkok	13.75398	100.50144	TH	5104476
Bangkok Noi	13.76266	100.47798	TH	117793
Bangui	4.36122	18.55496	CF	812407
Banhā	30.45977	31.1842	EG	182254
Banja Luka	44.77879	17.20629	BA	221106
Banjar	-7.1955	107.4313	ID	209791
Banjaran	-7.04528	107.58778	ID	164952
Banjarbaru	-3.4406	114.8365	ID	293332
Banjarmasin	-3.31987	114.59075	ID	657663
Bannu	32.98527	70.60403	PK	1357890
Banqiao	25.01427	121.46719	TW	551221
Banyuwangi	-8.2325	114.35755	ID	117558
Banī Mazār	28.49456	30.80526	EG	115759
Banī Suwayf	29.07441	31.09785	EG	273151
Bao'an	22.55213	113.88288	CN	4476554
Bao'an Centre	22.57953	113.9163	CN	120170
Baoding	38.87288	115.46246	CN	2739887
Baoji	34.36775	107.23705	CN	1437802
Baoshan	25.11626	99.16366	CN	935618
Baoshan	31.40845	121.48956	CN	2265900
Baoshan	46.57472	131.39318	CN	123791
Baotou	40.6516	109.84389	CN	2150000
Baqubah	33.75403	44.60518	IQ	152550
Barakaldo	43.29639	-2.98813	ES	100435
Baraki	36.66655	3.09606	DZ	105402
Baranagar	22.64132	88.37727	IN	260072
Baranovichi	53.13255	26.00775	BY	170039
Barbacena	-21.22583	-43.77361	BR	125317
Barcarena	-1.50583	-48.62583	BR	126650
Barcelona	41.38879	2.15899	ES	1686208
Barcelona	10.1384	-64.68769	VE	815141
Barddhamān	23.25572	87.85691	IN	301725
Bareilly	28.36678	79.43167	IN	745435
Bari	41.12066	16.86982	IT	316491
Bariadi	-2.8	33.98333	TZ	260927
Barinas	8.62064	-70.23105	VE	397279
Baripāda	21.93458	86.72852	IN	116849
Barishal	22.70497	90.37013	BD	202242
Barking	51.53333	0.08333	GB	218534
Barnaul	53.36199	83.72786	RU	632372
Barnāla	30.37451	75.5487	IN	116449
Barquisimeto	10.0647	-69.35703	VE	1240714
Barra Mansa	-22.54417	-44.17139	BR	164052
Barrancabermeja	7.06528	-73.85472	CO	191403
Barranquilla	10.96854	-74.78132	CO	1206319
Barreiras	-12.15278	-44.99	BR	159734
Barretos	-20.55722	-48.56778	BR	122485
Barrie	44.40011	-79.66634	CA	147829
Barshi	18.23454	75.69275	IN	118722
Barueri	-23.51056	-46.87611	BR	316473
Baruta	10.43424	-66.87558	VE	244216
Barysaw	54.2279	28.505	BY	133700
Basel	47.55839	7.57327	CH	177595
Bashan	27.76823	116.05017	CN	103748
Basildon	51.56844	0.45782	GB	144859
Basingstoke	51.26249	-1.08708	GB	107642
Basirhat City	22.66142	88.85477	IN	143007
Basrah	30.50852	47.7804	IQ	1326564
Bastī	26.78817	82.71617	IN	115115
Basuo	19.10267	108.66565	CN	444458
Bat Yam	32.02379	34.75185	IL	129012
Bata	1.86391	9.76582	GQ	173046
Batam	1.14937	104.02491	ID	1296960
Batang	-6.4846	110.7083	ID	139492
Batangas	13.7567	121.0584	PH	237370
Bataysk	47.13746	39.75713	RU	109962
Bath	51.3751	-2.36172	GB	101557
Bathinda	30.20747	74.93893	IN	285788
Batikent	39.96833	32.73083	TR	300000
Batman	37.88738	41.13221	TR	452157
Batna	35.55597	6.17414	DZ	289504
Baton Rouge	30.44332	-91.18747	US	227470
Battagram	34.67719	73.02329	PK	700000
Battambang	13.10271	103.19822	KH	119251
Batu	-7.87	112.52833	ID	225408
Batu Caves	3.238	101.682	MY	254083
Batu Pahat	1.8548	102.9325	MY	156236
Batumi	41.64077	41.6306	GE	186949
Baturaja	-4.12891	104.16695	ID	134759
Batāla	31.80921	75.20294	IN	158621
Baubau	-5.4633	122.6024	ID	161280
Bauchi	10.31032	9.84388	NG	693700
Bauru	-22.31472	-49.06056	BR	379297
Bawshar	23.57769	58.39982	OM	383257
Bayambang	15.8127	120.4557	PH	129506
Bayamo	20.37368	-76.64272	CU	192632
Bayamón	18.39856	-66.15572	PR	203499
Bayan Lepas	5.29992	100.26052	MY	130455
Bayan Nur	40.74143	107.38599	CN	1760000
Bayawan	9.3649	122.804	PH	126744
Bayjī	34.92915	43.48878	IQ	173677
Bayugan	8.75611	125.7675	PH	110313
Bazhong	31.8694	106.74432	CN	2712894
Baía Farta	-12.60417	13.19667	AO	107841
Bağcılar	41.03903	28.85671	TR	740069
Başakşehir	41.106	28.791	TR	193750
Baḥarkah	36.31556	44.03533	IQ	130518
Beau Bassin-Rose Hill	-20.23325	57.46609	MU	111355
Beaumont	30.08605	-94.10185	US	115282
Becontree	51.5529	0.129	GB	100000
Bedford	52.13459	-0.46632	GB	106940
Bedok New Town	1.32639	103.94167	SG	276990
Beed	18.98921	75.75634	IN	146709
Beersheba	31.25181	34.7913	IL	186600
Begusarai	25.41853	86.13389	IN	252008
Behbahān	30.5959	50.2417	IR	122604
Beibei	29.82739	106.43645	CN	247702
Beihai	21.48349	109.11549	CN	525329
Beijing	39.9075	116.39723	CN	18960744
Beiliu	22.70722	110.34917	CN	199769
Beining	41.59556	121.79278	CN	152033
Beipiao	41.79194	120.77917	CN	190315
Beira	-19.84361	34.83889	MZ	687764
Beirut	33.89332	35.50157	LB	1916100
Bei’an	48.26667	126.6	CN	436444
Bekasi	-6.2349	106.9896	ID	2648272
Belagavi	15.85212	74.50447	IN	490045
Belawan	3.7755	98.6832	ID	102707
Belfast	54.59682	-5.92541	GB	348005
Belford Roxo	-22.76417	-43.39944	BR	466096
Belgorod	50.60343	36.58091	RU	345289
Belgrade	44.80401	20.46513	RS	1273651
Belgrano	-34.5627	-58.45829	AR	138942
Bella Vista	18.45539	-69.9454	DO	175683
Bellevue	47.61038	-122.20068	US	139820
Bello	6.33732	-75.55795	CO	392939
Belo Horizonte	-19.92083	-43.93778	BR	2721564
Belém	-1.45583	-48.50444	BR	1499641
Bemowo	52.2546	20.90844	PL	123932
Bender	46.83158	29.47671	MD	110175
Bendigo	-36.75818	144.28024	AU	103034
Benfica	-8.94432	13.16431	AO	191828
Bengaluru	12.97194	77.59369	IN	8495492
Bengbu	32.94083	117.36083	CN	972784
Benghazi	32.11486	20.06859	LY	757490
Bengkulu	-3.80044	102.26554	ID	397321
